"Country","Year","All","Communicable","Noncommunicable","Injuries"
"Malta"," 2012","407.1","23.6","364.5","19.0"
"Malta"," 2000","524.6","43.3","457.5","23.8"
"Mauritania"," 2012","1257.6","619.1","555.1","83.4"
"Mauritania"," 2000","1381.7","720.5","569.8","91.4"
"Mauritius"," 2012","682.5","61.8","576.5","44.1"
"Mauritius"," 2000","806.6","45.3","715.7","45.6"
"Mexico"," 2012","588.6","57.0","468.3","63.2"
"Mexico"," 2000","631.4","81.9","487.5","62.1"
"Mongolia"," 2012","1118.7","82.8","966.5","69.4"
"Mongolia"," 2000","1437.3","160.9","1188.2","88.3"
"Montenegro"," 2012","631.5","18.7","571.5","41.2"
"Montenegro"," 2000","665.6","27.0","598.5","40.1"
"Morocco"," 2012","886.1","131.5","707.7","47.0"
"Morocco"," 2000","988.8","186.8","753.1","48.9"
"Mozambique"," 2012","1767.0","998.1","593.7","175.3"
"Mozambique"," 2000","2079.6","1183.9","694.0","201.7"
"Myanmar"," 2012","1127.2","316.4","708.7","102.0"
"Myanmar"," 2000","1272.7","487.9","682.7","102.1"
"Namibia"," 2012","1013.2","356.6","580.2","76.4"
"Namibia"," 2000","1533.9","771.1","671.7","91.1"
"Nepal"," 2012","1018.6","251.8","678.1","88.7"
"Nepal"," 2000","1296.0","390.4","786.1","119.5"
"Netherlands"," 2012","403.0","25.5","355.2","22.3"
"Netherlands"," 2000","520.4","36.1","459.2","25.1"
"New Zealand"," 2012","364.6","18.0","313.6","32.9"
"New Zealand"," 2000","480.8","14.0","428.3","38.4"
"Nicaragua"," 2012","686.2","75.2","546.6","64.4"
"Nicaragua"," 2000","654.3","110.8","474.6","68.9"
"Niger"," 2012","1486.7","740.0","649.1","97.6"
"Niger"," 2000","1849.4","1112.3","637.0","100.2"
"Nigeria"," 2012","1685.6","866.2","673.7","145.6"
"Nigeria"," 2000","2090.7","1226.2","714.3","150.2"
"Norway"," 2012","387.5","25.2","336.6","25.6"
"Norway"," 2000","490.3","30.9","422.0","37.4"
"Oman"," 2012","615.2","84.2","478.2","52.8"
"Oman"," 2000","781.5","122.5","607.5","51.5"
"Pakistan"," 2012","1064.0","296.0","669.3","98.7"
"Pakistan"," 2000","1148.0","432.5","620.0","95.5"
"Panama"," 2012","526.5","86.1","372.9","67.4"
"Panama"," 2000","559.3","86.0","420.2","53.1"
"Papua New Guinea"," 2012","1347.6","554.3","693.2","100.1"
"Papua New Guinea"," 2000","1572.3","717.5","727.5","127.3"
"Paraguay"," 2012","630.4","77.3","485.5","67.6"
"Paraguay"," 2000","655.8","106.4","494.4","55.0"
"Peru"," 2012","532.6","121.3","363.5","47.9"
"Peru"," 2000","726.8","215.6","453.4","57.9"
"Philippines"," 2012","1000.2","226.4","720.0","53.8"
"Philippines"," 2000","877.2","247.3","570.7","59.2"
"Poland"," 2012","565.9","22.6","494.5","48.9"
"Poland"," 2000","716.2","30.3","622.4","63.5"
"Portugal"," 2012","408.5","39.9","343.3","25.2"
"Portugal"," 2000","569.8","39.8","480.8","49.3"
"Qatar"," 2012","476.4","28.3","407.0","41.0"
"Qatar"," 2000","589.7","37.2","485.4","67.1"
"Republic of Korea"," 2012","389.1","33.8","302.1","53.1"
"Republic of Korea"," 2000","607.8","42.1","503.4","62.3"
"Republic of Moldova"," 2012","907.8","44.5","787.6","75.7"
"Republic of Moldova"," 2000","1101.5","67.8","944.3","89.4"
"Romania"," 2012","691.4","38.5","612.2","40.7"
"Romania"," 2000","840.1","72.1","709.3","58.7"
"Russian Federation"," 2012","966.9","73.8","790.3","102.8"
"Russian Federation"," 2000","1185.8","80.2","912.9","192.8"
"Rwanda"," 2012","1093.4","401.7","585.3","106.3"
"Rwanda"," 2000","2210.8","1268.2","792.3","150.3"
"Saudi Arabia"," 2012","661.8","71.3","549.4","41.1"
"Saudi Arabia"," 2000","815.1","103.3","655.0","56.8"
"Senegal"," 2012","1235.2","587.7","558.1","89.3"
